Entity,Code,Year,Crops - Oil palm fruit - 254 - Area harvested - 5312 - ha
Africa,,1961,3444970
Africa,,1962,3237470
Africa,,1963,3325700
Africa,,1964,3333700
Africa,,1965,3394650
Africa,,1966,3286350
Africa,,1967,2827170
Africa,,1968,2886250
Africa,,1969,2989650
Africa,,1970,2931900
Africa,,1971,2933050
Africa,,1972,2776410
Africa,,1973,2786658
Africa,,1974,2964202
Africa,,1975,2918437
Africa,,1976,2903133
Africa,,1977,2948657
Africa,,1978,2812362
Africa,,1979,3150373
Africa,,1980,3145234
Africa,,1981,2841171
Africa,,1982,2856176
Africa,,1983,2746172
Africa,,1984,3043621
Africa,,1985,3015208
Africa,,1986,3046353
Africa,,1987,3129142
Africa,,1988,3110078
Africa,,1989,3159323
Africa,,1990,3222002
Africa,,1991,3394830
Africa,,1992,3528345
Africa,,1993,3683773
Africa,,1994,3741006
Africa,,1995,3941291
Africa,,1996,3977150
Africa,,1997,3962750
Africa,,1998,3971400
Africa,,1999,4024032
Africa,,2000,4107375
Africa,,2001,4208015
Africa,,2002,4211897
Africa,,2003,4383029
Africa,,2004,4515812
Africa,,2005,4565861
Africa,,2006,4333687
Africa,,2007,4366763
Africa,,2008,4480012
Africa,,2009,4553239
Africa,,2010,4590311
Africa,,2011,4599276
Africa,,2012,4695163
Africa,,2013,4392651
Africa,,2014,4455338
Africa,,2015,4520406
Africa,,2016,4537692
Africa,,2017,4565949
Africa,,2018,4553558
Americas,,1961,61610
Americas,,1962,67612
Americas,,1963,66702
Americas,,1964,73070
Americas,,1965,82580
Americas,,1966,83615
Americas,,1967,90020
Americas,,1968,108619
Americas,,1969,89022
Americas,,1970,79067
Americas,,1971,97139
Americas,,1972,94052
Americas,,1973,89228
Americas,,1974,85258
Americas,,1975,75351
Americas,,1976,86013
Americas,,1977,90452
Americas,,1978,99252
Americas,,1979,106514
Americas,,1980,118535
Americas,,1981,117782
Americas,,1982,138384
Americas,,1983,136610
Americas,,1984,152642
Americas,,1985,165707
Americas,,1986,190722
Americas,,1987,197377
Americas,,1988,216080
Americas,,1989,240499
Americas,,1990,271103
Americas,,1991,320038
Americas,,1992,364268
Americas,,1993,357323
Americas,,1994,386013
Americas,,1995,395633
Americas,,1996,415439
Americas,,1997,435592
Americas,,1998,445140
Americas,,1999,457719
Americas,,2000,503507
Americas,,2001,546045
Americas,,2002,576289
Americas,,2003,597365
Americas,,2004,601598
Americas,,2005,646544
Americas,,2006,678914
Americas,,2007,704454
Americas,,2008,730679
Americas,,2009,797695
Americas,,2010,858490
Americas,,2011,935603
Americas,,2012,974979
Americas,,2013,1067607
Americas,,2014,1183726
Americas,,2015,1299535
Americas,,2016,1275947
Americas,,2017,1301814
Americas,,2018,1307143
Angola,AGO,1961,22000
Angola,AGO,1962,22000
Angola,AGO,1963,21000
Angola,AGO,1964,22000
Angola,AGO,1965,18000
Angola,AGO,1966,19000
Angola,AGO,1967,20000
Angola,AGO,1968,20000
Angola,AGO,1969,23000
Angola,AGO,1970,21000
Angola,AGO,1971,21000
Angola,AGO,1972,21000
Angola,AGO,1973,21000
Angola,AGO,1974,21000
Angola,AGO,1975,21000
Angola,AGO,1976,19000
Angola,AGO,1977,18000
Angola,AGO,1978,20000
Angola,AGO,1979,20000
Angola,AGO,1980,20000
Angola,AGO,1981,19000
Angola,AGO,1982,19000
Angola,AGO,1983,20000
Angola,AGO,1984,19000
Angola,AGO,1985,18000
Angola,AGO,1986,19000
Angola,AGO,1987,20000
Angola,AGO,1988,20000
Angola,AGO,1989,21000
Angola,AGO,1990,21000
Angola,AGO,1991,21500
Angola,AGO,1992,21500
Angola,AGO,1993,21500
Angola,AGO,1994,21500
Angola,AGO,1995,22000
Angola,AGO,1996,22400
Angola,AGO,1997,22000
Angola,AGO,1998,22400
Angola,AGO,1999,22500
Angola,AGO,2000,23000
Angola,AGO,2001,23000
Angola,AGO,2002,23000
Angola,AGO,2003,23000
Angola,AGO,2004,23000
Angola,AGO,2005,23000
Angola,AGO,2006,23000
Angola,AGO,2007,23000
Angola,AGO,2008,23000
Angola,AGO,2009,23000
Angola,AGO,2010,23000
Angola,AGO,2011,23000
Angola,AGO,2012,23000
Angola,AGO,2013,23000
Angola,AGO,2014,23064
Angola,AGO,2015,23186
Angola,AGO,2016,23212
Angola,AGO,2017,23251
Angola,AGO,2018,23290
Asia,,1961,114402
Asia,,1962,117275
Asia,,1963,125173
Asia,,1964,134000
Asia,,1965,140100
Asia,,1966,153650
Asia,,1967,164750
Asia,,1968,190350
Asia,,1969,216950
Asia,,1970,251950
Asia,,1971,281350
Asia,,1972,338750
Asia,,1973,384000
Asia,,1974,445500
Asia,,1975,538166
Asia,,1976,593449
Asia,,1977,671246
Asia,,1978,794203
Asia,,1979,883915
Asia,,1980,998724
Asia,,1981,1099747
Asia,,1982,1168071
Asia,,1983,1313151
Asia,,1984,1431031
Asia,,1985,1675688
Asia,,1986,1864660
Asia,,1987,1929405
Asia,,1988,2212179
Asia,,1989,2411976
Asia,,1990,2571087
Asia,,1991,3037467
Asia,,1992,3246780
Asia,,1993,3429516
Asia,,1994,3664324
Asia,,1995,3951700
Asia,,1996,4356769
Asia,,1997,4762328
Asia,,1998,5148957
Asia,,1999,5446911
Asia,,2000,5695042
Asia,,2001,6018216
Asia,,2002,6803627
Asia,,2003,7211155
Asia,,2004,7587166
Asia,,2005,8151594
Asia,,2006,8745167
Asia,,2007,9389576
Asia,,2008,10029925
Asia,,2009,10676511
Asia,,2010,11281375
Asia,,2011,11852000
Asia,,2012,12435140
Asia,,2013,13031519
Asia,,2014,13603322
Asia,,2015,14262274
Asia,,2016,12558114
Asia,,2017,12680118
Asia,,2018,12852615
Benin,BEN,1961,30000
Benin,BEN,1962,30000
Benin,BEN,1963,30000
Benin,BEN,1964,30000
Benin,BEN,1965,30000
Benin,BEN,1966,30000
Benin,BEN,1967,30000
Benin,BEN,1968,30000
Benin,BEN,1969,30000
Benin,BEN,1970,30000
Benin,BEN,1971,30000
Benin,BEN,1972,30000
Benin,BEN,1973,30000
Benin,BEN,1974,30000
Benin,BEN,1975,30000
Benin,BEN,1976,30000
Benin,BEN,1977,30000
Benin,BEN,1978,30000
Benin,BEN,1979,30000
Benin,BEN,1980,30000
Benin,BEN,1981,30000
Benin,BEN,1982,30000
Benin,BEN,1983,30000
Benin,BEN,1984,30000
Benin,BEN,1985,24000
Benin,BEN,1986,24000
Benin,BEN,1987,24000
Benin,BEN,1988,24000
Benin,BEN,1989,18000
Benin,BEN,1990,18000
Benin,BEN,1991,15000
Benin,BEN,1992,15000
Benin,BEN,1993,15000
Benin,BEN,1994,15000
Benin,BEN,1995,18000
Benin,BEN,1996,18000
Benin,BEN,1997,19000
Benin,BEN,1998,20000
Benin,BEN,1999,20000
Benin,BEN,2000,21000
Benin,BEN,2001,18000
Benin,BEN,2002,18000
Benin,BEN,2003,20000
Benin,BEN,2004,21000
Benin,BEN,2005,22000
Benin,BEN,2006,22000
Benin,BEN,2007,23000
Benin,BEN,2008,24000
Benin,BEN,2009,25000
Benin,BEN,2010,26000
Benin,BEN,2011,29000
Benin,BEN,2012,32000
Benin,BEN,2013,36000
Benin,BEN,2014,36499
Benin,BEN,2015,35441
Benin,BEN,2016,33937
Benin,BEN,2017,33906
Benin,BEN,2018,33522
Brazil,BRA,1961,2000
Brazil,BRA,1962,2300
Brazil,BRA,1963,2400
Brazil,BRA,1964,2900
Brazil,BRA,1965,4000
Brazil,BRA,1966,5200
Brazil,BRA,1967,4600
Brazil,BRA,1968,4900
Brazil,BRA,1969,5500
Brazil,BRA,1970,2200
Brazil,BRA,1971,2500
Brazil,BRA,1972,2700
Brazil,BRA,1973,2900
Brazil,BRA,1974,3100
Brazil,BRA,1975,3300
Brazil,BRA,1976,4300
Brazil,BRA,1977,5700
Brazil,BRA,1978,7100
Brazil,BRA,1979,7600
Brazil,BRA,1980,5700
Brazil,BRA,1981,6600
Brazil,BRA,1982,7600
Brazil,BRA,1983,8600
Brazil,BRA,1984,11000
Brazil,BRA,1985,13500
Brazil,BRA,1986,14500
Brazil,BRA,1987,18000
Brazil,BRA,1988,21000
Brazil,BRA,1989,25000
Brazil,BRA,1990,33000
Brazil,BRA,1991,69316
Brazil,BRA,1992,80932
Brazil,BRA,1993,69714
Brazil,BRA,1994,67388
Brazil,BRA,1995,68003
Brazil,BRA,1996,72929
Brazil,BRA,1997,80345
Brazil,BRA,1998,79021
Brazil,BRA,1999,77773
Brazil,BRA,2000,81881
Brazil,BRA,2001,84636
Brazil,BRA,2002,78363
Brazil,BRA,2003,85889
Brazil,BRA,2004,87542
Brazil,BRA,2005,87925
Brazil,BRA,2006,96509
Brazil,BRA,2007,102042
Brazil,BRA,2008,103158
Brazil,BRA,2009,103904
Brazil,BRA,2010,106420
Brazil,BRA,2011,109080
Brazil,BRA,2012,113135
Brazil,BRA,2013,108635
Brazil,BRA,2014,126559
Brazil,BRA,2015,140082
Brazil,BRA,2016,135546
Brazil,BRA,2017,111233
Brazil,BRA,2018,109044
Burundi,BDI,1961,800
Burundi,BDI,1962,800
Burundi,BDI,1963,800
Burundi,BDI,1964,800
Burundi,BDI,1965,800
Burundi,BDI,1966,800
Burundi,BDI,1967,800
Burundi,BDI,1968,900
Burundi,BDI,1969,1100
Burundi,BDI,1970,1200
Burundi,BDI,1971,1200
Burundi,BDI,1972,1100
Burundi,BDI,1973,1300
Burundi,BDI,1974,1000
Burundi,BDI,1975,1200
Burundi,BDI,1976,1200
Burundi,BDI,1977,1200
Burundi,BDI,1978,1600
Burundi,BDI,1979,1200
Burundi,BDI,1980,1200
Burundi,BDI,1981,1200
Burundi,BDI,1982,1200
Burundi,BDI,1983,1200
Burundi,BDI,1984,1200
Burundi,BDI,1985,1250
Burundi,BDI,1986,1250
Burundi,BDI,1987,1250
Burundi,BDI,1988,1250
Burundi,BDI,1989,1250
Burundi,BDI,1990,1250
Burundi,BDI,1991,1250
Burundi,BDI,1992,1250
Burundi,BDI,1993,1250
Burundi,BDI,1994,1250
Burundi,BDI,1995,1250
Burundi,BDI,1996,1250
Burundi,BDI,1997,1250
Burundi,BDI,1998,1250
Burundi,BDI,1999,1250
Burundi,BDI,2000,1200
Burundi,BDI,2001,950
Burundi,BDI,2002,1100
Burundi,BDI,2003,1500
Burundi,BDI,2004,2000
Burundi,BDI,2005,3300
Burundi,BDI,2006,5500
Burundi,BDI,2007,8500
Burundi,BDI,2008,9500
Burundi,BDI,2009,9000
Burundi,BDI,2010,8400
Burundi,BDI,2011,7000
Burundi,BDI,2012,7200
Burundi,BDI,2013,7900
Burundi,BDI,2014,8602
Burundi,BDI,2015,8570
Burundi,BDI,2016,8715
Burundi,BDI,2017,8751
Burundi,BDI,2018,8707
Cambodia,KHM,1991,13086
Cambodia,KHM,1992,13112
Cambodia,KHM,1993,13139
Cambodia,KHM,1994,13165
Cambodia,KHM,1995,13191
Cambodia,KHM,1996,13218
Cambodia,KHM,1997,13244
Cambodia,KHM,1998,13271
Cambodia,KHM,1999,13298
Cambodia,KHM,2000,13325
Cambodia,KHM,2001,13352
Cambodia,KHM,2002,13379
Cambodia,KHM,2003,13406
Cambodia,KHM,2004,13463
Cambodia,KHM,2005,13549
Cambodia,KHM,2006,13636
Cambodia,KHM,2007,13724
Cambodia,KHM,2008,13814
Cambodia,KHM,2009,13904
Cambodia,KHM,2010,13996
Cambodia,KHM,2011,14089
Cambodia,KHM,2012,14115
Cambodia,KHM,2013,14224
Cambodia,KHM,2014,14300
Cambodia,KHM,2015,14500
Cambodia,KHM,2016,14631
Cambodia,KHM,2017,14640
Cambodia,KHM,2018,14744
Cameroon,CMR,1961,30000
Cameroon,CMR,1962,28000
Cameroon,CMR,1963,35000
Cameroon,CMR,1964,37000
Cameroon,CMR,1965,45000
Cameroon,CMR,1966,33000
Cameroon,CMR,1967,45000
Cameroon,CMR,1968,47000
Cameroon,CMR,1969,43000
Cameroon,CMR,1970,37000
Cameroon,CMR,1971,34000
Cameroon,CMR,1972,35000
Cameroon,CMR,1973,36000
Cameroon,CMR,1974,37000
Cameroon,CMR,1975,42000
Cameroon,CMR,1976,33000
Cameroon,CMR,1977,33000
Cameroon,CMR,1978,36000
Cameroon,CMR,1979,38000
Cameroon,CMR,1980,43000
Cameroon,CMR,1981,35000
Cameroon,CMR,1982,40000
Cameroon,CMR,1983,33000
Cameroon,CMR,1984,45000
Cameroon,CMR,1985,45000
Cameroon,CMR,1986,45000
Cameroon,CMR,1987,45000
